employee_id,name_prefix,firstname,middle_initial,lastname,gender,email,father_name,mother_name,mother_maiden,birthdate,joining_date,salary,ssn,phone,city,state,zip
677509,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,Lewis,1981/03/29,2003/11/24,168251,467-99-4677,303-572-8492,Denver,CO,80224
940761,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,Perry,1970/07/31,2008/07/27,51063,537-71-4566,225-945-4954,Stonewall,LA,71078
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,Taylor,1963/06/16,2016/03/08,50155,025-92-3584,219-904-2161,Michigantown,IN,46057
408351,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,Allen,1977/04/12,1999/04/16,180294,314-35-9851,215-793-6791,Hydetown,PA,16328
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,Nelson,1977/04/17,2013/07/25,117642,121-98-7248,262-404-2252,Fremont,WI,54940
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,Henderson,1982/09/27,2005/07/22,72305,439-99-7721,319-812-6957,Macksburg,IA,50155
539712,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,Thomas,1995/06/13,2016/09/14,98189,641-29-2071,229-336-5117,Atlanta,GA,30334
380086,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,Peterson,1958/06/30,1983/01/28,60918,423-67-7023,216-336-0009,Blanchester,OH,45107
477616,Hon.,Frances,B,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,Diaz,1959/09/06,1994/04/27,121587,028-92-8912,210-819-9765,Delmita,TX,78536
162402,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,Ross,1987/11/13,2014/02/17,43010,512-33-6767,479-783-5656,Eureka Springs,AR,72632
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,Moore,1975/05/02,2009/04/14,118457,302-15-0130,316-280-2864,Sabetha,KS,66534
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,Walker,1995/05/19,2017/05/01,82965,428-99-9413,702-603-3769,Las Vegas,NV,89170
